msan,dt,total
CBJ,1/3/2014,2702
PUJ,1/3/2014,2622
PUJ1,1/3/2014,7
SKT,1/3/2014,757
CBJ,1/4/2014,1592
CBJ,1/4/2014,2225
PUJ,1/4/2014,2956
PUJ,1/4/2014,1626
PUJ1,1/4/2014,11
PUJ1,1/4/2014,4
SKT,1/4/2014,952
SKT,1/4/2014,480
CBJ,1/5/2014,2162
PUJ,1/5/2014,2561
PUJ1,1/5/2014,8
SKT,1/5/2014,980
CBJ,1/7/2014,2597
PUJ,1/7/2014,3621
PUJ1,1/7/2014,11
SKT,1/7/2014,1143
CBJ,1/8/2014,2236
PUJ,1/8/2014,2993
PUJ1,1/8/2014,19
SKT,1/8/2014,855
CBJ,1/9/2014,2423
PUJ,1/9/2014,2752
PUJ1,1/9/2014,14
SKT,1/9/2014,1015
CBJ,1/10/2014,8672
PUJ,1/10/2014,2875
PUJ1,1/10/2014,16
SKT,1/10/2014,1577
CBJ,1/11/2014,2073
PUJ,1/11/2014,3219
PUJ1,1/11/2014,46
SKT,1/11/2014,1016
CBJ,1/12/2014,2249
PUJ,1/12/2014,3038
PUJ1,1/12/2014,11
SKT,1/12/2014,1140
CBJ,1/13/2014,2258
PUJ,1/13/2014,2994
PUJ1,1/13/2014,11
SKT,1/13/2014,934
CBJ,1/14/2014,2164
PUJ,1/14/2014,2919
PUJ1,1/14/2014,9
SKT,1/14/2014,877
CBJ,1/15/2014,2652
PUJ,1/15/2014,2921
PUJ1,1/15/2014,9
SKT,1/15/2014,874
CBJ,1/17/2014,6221
PUJ,1/17/2014,3079
PUJ1,1/17/2014,13
SKT,1/17/2014,984
CBJ,1/18/2014,2246
PUJ,1/18/2014,2829
PUJ1,1/18/2014,15
SKT,1/18/2014,851
CBJ,1/19/2014,2011
PUJ,1/19/2014,2510
PUJ1,1/19/2014,11
SKT,1/19/2014,737
CBJ,1/20/2014,2491
PUJ,1/20/2014,2495
PUJ1,1/20/2014,19
SKT,1/20/2014,837
CBJ,1/21/2014,3209
PUJ,1/21/2014,2947
PUJ1,1/21/2014,22
SKT,1/21/2014,844
CBJ,1/22/2014,3451
PUJ,1/22/2014,2951
PUJ1,1/22/2014,18
SKT,1/22/2014,858
CBJ,1/23/2014,2395
PUJ,1/23/2014,2834
PUJ1,1/23/2014,20
SKT,1/23/2014,825
CBJ,1/24/2014,2473
KLIA,1/24/2014,2
PUJ,1/24/2014,3002
PUJ1,1/24/2014,21
SKT,1/24/2014,948
CBJ,1/25/2014,2096
KLIA,1/25/2014,2
PUJ,1/25/2014,2884
PUJ1,1/25/2014,20
SKT,1/25/2014,779
CBJ,1/26/2014,2091
PUJ,1/26/2014,2861
PUJ1,1/26/2014,16
SKT,1/26/2014,890
CBJ,1/28/2014,1919
PUJ,1/28/2014,2937
PUJ1,1/28/2014,24
SKT,1/28/2014,1047
CBJ,1/29/2014,1640
CBJ,1/29/2014,2272
CBJ,1/29/2014,2156
CBJ,1/29/2014,1981
PUJ,1/29/2014,2794
PUJ,1/29/2014,2948
PUJ,1/29/2014,2941
PUJ,1/29/2014,2777
PUJ1,1/29/2014,25
PUJ1,1/29/2014,9
PUJ1,1/29/2014,8
PUJ1,1/29/2014,16
SKT,1/29/2014,958
SKT,1/29/2014,947
SKT,1/29/2014,865
SKT,1/29/2014,913
CBJ,2/1/2014,1459
PUJ,2/1/2014,2705
PUJ1,2/1/2014,14
SKT,2/1/2014,951
CBJ,2/2/2014,1227
PUJ,2/2/2014,2047
PUJ1,2/2/2014,12
SKT,2/2/2014,731
CBJ,2/3/2014,1552
PUJ,2/3/2014,1947
PUJ1,2/3/2014,17
SKT,2/3/2014,786
CBJ,2/4/2014,1690
CBJ,2/4/2014,1861
CBJ,2/4/2014,1534
KLIA,2/4/2014,4
PUJ,2/4/2014,2387
PUJ,2/4/2014,2968
PUJ,2/4/2014,3055
PUJ1,2/4/2014,9
PUJ1,2/4/2014,31
PUJ1,2/4/2014,17
SKT,2/4/2014,979
SKT,2/4/2014,901
SKT,2/4/2014,996
CBJ,2/5/2014,1953
PUJ,2/5/2014,3576
PUJ1,2/5/2014,26
SKT,2/5/2014,821
CBJ,2/7/2014,4504
PUJ,2/7/2014,2787
PUJ1,2/7/2014,25
SKT,2/7/2014,857
CBJ,2/8/2014,2356
PUJ,2/8/2014,3085
PUJ1,2/8/2014,20
SKT,2/8/2014,895
CBJ,2/10/2014,2508
PUJ,2/10/2014,2788
PUJ1,2/10/2014,18
SKT,2/10/2014,848
CBJ,2/13/2014,2269
PUJ,2/13/2014,2948
PUJ1,2/13/2014,16
SKT,2/13/2014,972
CBJ,2/14/2014,2105
PUJ,2/14/2014,4322
PUJ1,2/14/2014,21
SKT,2/14/2014,908
CBJ,2/15/2014,2005
PUJ,2/15/2014,3333
PUJ1,2/15/2014,10
SKT,2/15/2014,828
CBJ,2/16/2014,2269
PUJ,2/16/2014,3032
PUJ1,2/16/2014,7
SKT,2/16/2014,918
CBJ,2/17/2014,2373
PUJ,2/17/2014,2682
SKT,2/17/2014,844
CBJ,2/18/2014,2453
PUJ,2/18/2014,2865
PUJ1,2/18/2014,3
SKT,2/18/2014,846
CBJ,2/19/2014,2389
PUJ,2/19/2014,3182
SKT,2/19/2014,938
CBJ,2/20/2014,2371
PUJ,2/20/2014,3155
SKT,2/20/2014,985
CBJ,2/21/2014,2254
PUJ,2/21/2014,3007
PUJ1,2/21/2014,1
SKT,2/21/2014,959
CBJ,2/22/2014,2529
PUJ,2/22/2014,3087
PUJ1,2/22/2014,2
SKT,2/22/2014,936
CBJ,2/23/2014,3622
PUJ,2/23/2014,2735
PUJ1,2/23/2014,2
SKT,2/23/2014,982
CBJ,2/24/2014,2291
PUJ,2/24/2014,2887
PUJ1,2/24/2014,1
SKT,2/24/2014,996
CBJ,2/25/2014,2146
PUJ,2/25/2014,2954
PUJ1,2/25/2014,1
SKT,2/25/2014,958
CBJ,2/26/2014,2042
PUJ,2/26/2014,3019
SKT,2/26/2014,1189
CBJ,2/27/2014,2541
PUJ,2/27/2014,2859
PUJ1,2/27/2014,2
SKT,2/27/2014,937
CBJ,2/28/2014,1971
PUJ,2/28/2014,2804
SKT,2/28/2014,956
CBJ,3/1/2014,2000
PUJ,3/1/2014,3193
PUJ1,3/1/2014,1
SKT,3/1/2014,1050
CBJ,3/3/2014,2033
PUJ,3/3/2014,2788
SKT,3/3/2014,1010
CBJ,3/4/2014,2174
CBJ,3/4/2014,2154
CBJ,3/4/2014,2107
CBJ,3/4/2014,2790
CBJ,3/4/2014,2576
CBJ,3/4/2014,2304
PUJ,3/4/2014,2972
PUJ,3/4/2014,3074
PUJ,3/4/2014,3103
PUJ,3/4/2014,2649
PUJ,3/4/2014,2778
PUJ,3/4/2014,2910
PUJ1,3/4/2014,1
PUJ1,3/4/2014,19
PUJ1,3/4/2014,13
PUJ1,3/4/2014,21
PUJ1,3/4/2014,12
SKT,3/4/2014,838
SKT,3/4/2014,1071
SKT,3/4/2014,897
SKT,3/4/2014,847
SKT,3/4/2014,991
SKT,3/4/2014,983
CBJ,3/5/2014,2211
PUJ,3/5/2014,3123
SKT,3/5/2014,964
CBJ,3/6/2014,2360
PUJ,3/6/2014,3036
SKT,3/6/2014,967
CBJ,3/7/2014,2626
PUJ,3/7/2014,3220
SKT,3/7/2014,980
CBJ,3/9/2014,1767
PUJ,3/9/2014,3402
PUJ1,3/9/2014,1
SKT,3/9/2014,886
CBJ,3/10/2014,1796
PUJ,3/10/2014,3089
SKT,3/10/2014,873
CBJ,3/11/2014,1912
PUJ,3/11/2014,3090
SKT,3/11/2014,955
CBJ,3/12/2014,9711
PUJ,3/12/2014,4290
SKT,3/12/2014,1234
CBJ,3/13/2014,1698
PUJ,3/13/2014,2972
SKT,3/13/2014,1124
CBJ,3/18/2014,2152
PUJ,3/18/2014,2947
SKT,3/18/2014,930
CBJ,3/19/2014,1989
PUJ,3/19/2014,3219
SKT,3/19/2014,1051
CBJ,3/20/2014,2238
PUJ,3/20/2014,3233
SKT,3/20/2014,981
CBJ,3/23/2014,2161
PUJ,3/23/2014,3184
SKT,3/23/2014,1084
CBJ,3/26/2014,2204
PUJ,3/26/2014,4967
PUJ1,3/26/2014,1
SKT,3/26/2014,923
CBJ,3/31/2014,1945
PUJ,3/31/2014,3129
SKT,3/31/2014,922
CBJ,4/1/2014,2244
PUJ,4/1/2014,3424
SKT,4/1/2014,978
CBJ,4/2/2014,1880
CBJ,4/2/2014,2932
CBJ,4/2/2014,2372
CBJ,4/2/2014,1849
CBJ,4/2/2014,1710
CBJ,4/2/2014,2059
CBJ,4/2/2014,1979
CBJ,4/2/2014,1840
CBJ,4/2/2014,1875
CBJ,4/2/2014,1983
CBJ,4/2/2014,1944
CBJ,4/2/2014,1941
CBJ,4/2/2014,2255
CBJ,4/2/2014,1711
KLIA,4/2/2014,3
PUJ,4/2/2014,3259
PUJ,4/2/2014,4246
PUJ,4/2/2014,2939
PUJ,4/2/2014,3015
PUJ,4/2/2014,3327
PUJ,4/2/2014,2860
PUJ,4/2/2014,3229
PUJ,4/2/2014,3218
PUJ,4/2/2014,3269
PUJ,4/2/2014,3025
PUJ,4/2/2014,2874
PUJ,4/2/2014,2717
PUJ,4/2/2014,3212
PUJ,4/2/2014,2716
PUJ1,4/2/2014,1
PUJ1,4/2/2014,2
PUJ1,4/2/2014,2
SKT,4/2/2014,942
SKT,4/2/2014,1000
SKT,4/2/2014,1026
SKT,4/2/2014,988
SKT,4/2/2014,991
SKT,4/2/2014,972
SKT,4/2/2014,1015
SKT,4/2/2014,1132
SKT,4/2/2014,1402
SKT,4/2/2014,917
SKT,4/2/2014,901
SKT,4/2/2014,917
SKT,4/2/2014,879
SKT,4/2/2014,1056
CBJ,4/3/2014,2144
PUJ,4/3/2014,3167
SKT,4/3/2014,916
CBJ,4/4/2014,2194
PUJ,4/4/2014,3068
SKT,4/4/2014,1042
CBJ,4/5/2014,2139
PUJ,4/5/2014,4890
SKT,4/5/2014,962
CBJ,4/6/2014,1814
PUJ,4/6/2014,3164
SKT,4/6/2014,947
CBJ,4/7/2014,1908
PUJ,4/7/2014,2902
SKT,4/7/2014,884
CBJ,4/8/2014,2016
PUJ,4/8/2014,3020
SKT,4/8/2014,965
CBJ,4/9/2014,1982
PUJ,4/9/2014,3041
SKT,4/9/2014,97294
CBJ,4/10/2014,2011
PUJ,4/10/2014,3903
SKT,4/10/2014,2722
CBJ,4/12/2014,2115
PUJ,4/12/2014,11003
SKT,4/12/2014,1722
CBJ,4/13/2014,2406
PUJ,4/13/2014,3284
SKT,4/13/2014,1306
CBJ,4/14/2014,1985
PUJ,4/14/2014,3151
SKT,4/14/2014,904
CBJ,4/15/2014,2759
PUJ,4/15/2014,3856
SKT,4/15/2014,1593
CBJ,4/20/2014,2049
PUJ,4/20/2014,3171
SKT,4/20/2014,911
CBJ,4/21/2014,2135
PUJ,4/21/2014,3733
SKT,4/21/2014,917
CBJ,4/22/2014,2420
PUJ,4/22/2014,3319
SKT,4/22/2014,898
CBJ,4/23/2014,2221
PUJ,4/23/2014,3889
SKT,4/23/2014,1078
CBJ,4/25/2014,2094
PUJ,4/25/2014,2895
SKT,4/25/2014,967
CBJ,4/27/2014,2330
PUJ,4/27/2014,3077
SKT,4/27/2014,1344
CBJ,4/30/2014,2071
PUJ,4/30/2014,3178
SKT,4/30/2014,861
CBJ,5/1/2014,2235
PUJ,5/1/2014,3575
SKT,5/1/2014,887
CBJ,5/2/2014,2068
PUJ,5/2/2014,3428
SKT,5/2/2014,865
CBJ,5/3/2014,2140
PUJ,5/3/2014,3464
SKT,5/3/2014,1780
CBJ,5/4/2014,2106
PUJ,5/4/2014,3605
SKT,5/4/2014,994
CBJ,5/5/2014,2033
CBJ,5/5/2014,2085
CBJ,5/5/2014,2239
CBJ,5/5/2014,2173
CBJ,5/5/2014,2922
CBJ,5/5/2014,2590
CBJ,5/5/2014,2105
CBJ,5/5/2014,2278
CBJ,5/5/2014,1968
CBJ,5/5/2014,2299
PUJ,5/5/2014,3132
PUJ,5/5/2014,3391
PUJ,5/5/2014,7178
PUJ,5/5/2014,3774
PUJ,5/5/2014,3222
PUJ,5/5/2014,2958
PUJ,5/5/2014,3044
PUJ,5/5/2014,2954
PUJ,5/5/2014,3150
PUJ,5/5/2014,3339
SKT,5/5/2014,850
SKT,5/5/2014,892
SKT,5/5/2014,1492
SKT,5/5/2014,1037
SKT,5/5/2014,992
SKT,5/5/2014,937
SKT,5/5/2014,889
SKT,5/5/2014,974
SKT,5/5/2014,886
SKT,5/5/2014,934
CBJ,5/6/2014,2520
PUJ,5/6/2014,4742
SKT,5/6/2014,1763
CBJ,5/7/2014,2901
PUJ,5/7/2014,3236
SKT,5/7/2014,946
CBJ,5/8/2014,3108
PUJ,5/8/2014,3533
SKT,5/8/2014,1004
CBJ,5/9/2014,2496
PUJ,5/9/2014,3600
SKT,5/9/2014,1027
CBJ,5/10/2014,2131
PUJ,5/10/2014,3882
SKT,5/10/2014,1103
CBJ,5/11/2014,2329
PUJ,5/11/2014,3173
SKT,5/11/2014,1009
CBJ,5/12/2014,1934
PUJ,5/12/2014,2930
SKT,5/12/2014,907
CBJ,5/13/2014,1908
PUJ,5/13/2014,3071
SKT,5/13/2014,909
CBJ,5/14/2014,2040
PUJ,5/14/2014,2781
SKT,5/14/2014,1059
CBJ,5/15/2014,2148
PUJ,5/15/2014,3480
SKT,5/15/2014,1486
CBJ,5/16/2014,2335
PUJ,5/16/2014,3274
SKT,5/16/2014,1071
CBJ,5/17/2014,1896
PUJ,5/17/2014,3145
SKT,5/17/2014,934
CBJ,5/18/2014,1962
PUJ,5/18/2014,3121
SKT,5/18/2014,992
CBJ,5/19/2014,1872
PUJ,5/19/2014,3014
SKT,5/19/2014,918
CBJ,5/20/2014,1988
PUJ,5/20/2014,3134
SKT,5/20/2014,1646
CBJ,5/21/2014,1939
PUJ,5/21/2014,3363
SKT,5/21/2014,1335
CBJ,5/22/2014,2078
PUJ,5/22/2014,3246
SKT,5/22/2014,989
CBJ,5/24/2014,2232
PUJ,5/24/2014,3293
SKT,5/24/2014,1058
CBJ,5/25/2014,2136
PUJ,5/25/2014,2987
SKT,5/25/2014,1012
CBJ,5/27/2014,2315
PUJ,5/27/2014,3030
SKT,5/27/2014,1194
CBJ,5/28/2014,1868
PUJ,5/28/2014,3011
SKT,5/28/2014,1549
CBJ,5/29/2014,1999
PUJ,5/29/2014,3189
SKT,5/29/2014,1313
CBJ,5/30/2014,1981
PUJ,5/30/2014,3145
SKT,5/30/2014,986
CBJ,5/31/2014,1958
PUJ,5/31/2014,3137
SKT,5/31/2014,2534
CBJ,6/1/2014,1892
PUJ,6/1/2014,2844
SKT,6/1/2014,911
CBJ,6/2/2014,3286
CBJ,6/2/2014,1926
CBJ,6/2/2014,2035
PUJ,6/2/2014,2913
PUJ,6/2/2014,2740
PUJ,6/2/2014,2388
SKT,6/2/2014,916
SKT,6/2/2014,788
SKT,6/2/2014,928
CBJ,6/3/2014,1947
PUJ,6/3/2014,3081
SKT,6/3/2014,965
CBJ,6/4/2014,1947
PUJ,6/4/2014,3028
SKT,6/4/2014,908
CBJ,6/5/2014,2130
PUJ,6/5/2014,3486
SKT,6/5/2014,1081
CBJ,6/6/2014,2797
PUJ,6/6/2014,3307
SKT,6/6/2014,929
CBJ,6/7/2014,2091
PUJ,6/7/2014,3096
SKT,6/7/2014,941
CBJ,6/8/2014,1960
PUJ,6/8/2014,2532
SKT,6/8/2014,897
CBJ,6/11/2014,2128
PUJ,6/11/2014,3511
SKT,6/11/2014,900
CBJ,6/12/2014,2316
PUJ,6/12/2014,2955
SKT,6/12/2014,1029
CBJ,6/13/2014,2364
PUJ,6/13/2014,2862
SKT,6/13/2014,849
CBJ,6/14/2014,2084
PUJ,6/14/2014,2936
SKT,6/14/2014,938
CBJ,6/15/2014,1956
PUJ,6/15/2014,2756
SKT,6/15/2014,926
CBJ,6/16/2014,1872
PUJ,6/16/2014,3194
SKT,6/16/2014,814
CBJ,6/17/2014,2124
PUJ,6/17/2014,3801
SKT,6/17/2014,887
CBJ,6/18/2014,2290
PUJ,6/18/2014,3500
SKT,6/18/2014,846
CBJ,6/19/2014,2333
PUJ,6/19/2014,3280
SKT,6/19/2014,871
CBJ,6/26/2014,2038
PUJ,6/26/2014,3231
SKT,6/26/2014,851
CBJ,6/27/2014,1962
PUJ,6/27/2014,3433
SKT,6/27/2014,1047
CBJ,6/28/2014,2066
PUJ,6/28/2014,3714
SKT,6/28/2014,889
CBJ,6/29/2014,2050
PUJ,6/29/2014,2963
SKT,6/29/2014,882
CBJ,6/30/2014,1965
PUJ,6/30/2014,2572
SKT,6/30/2014,856
CBJ,7/1/2014,2452
CBJ,7/1/2014,2176
CBJ,7/1/2014,2177
CBJ,7/1/2014,2400
CBJ,7/1/2014,2566
CBJ,7/1/2014,2294
CBJ,7/1/2014,2232
CBJ,7/1/2014,2053
PUJ,7/1/2014,2921
PUJ,7/1/2014,3539
PUJ,7/1/2014,3014
PUJ,7/1/2014,3125
PUJ,7/1/2014,3246
PUJ,7/1/2014,2938
PUJ,7/1/2014,2408
PUJ,7/1/2014,3115
SKT,7/1/2014,747
SKT,7/1/2014,4128
SKT,7/1/2014,1169
SKT,7/1/2014,1890
SKT,7/1/2014,871
SKT,7/1/2014,916
SKT,7/1/2014,926
SKT,7/1/2014,1380
CBJ,7/2/2014,2050
CBJ,7/2/2014,2031
PUJ,7/2/2014,3221
PUJ,7/2/2014,3141
SKT,7/2/2014,1004
SKT,7/2/2014,948
CBJ,7/3/2014,2312
PUJ,7/3/2014,3207
SKT,7/3/2014,839
CBJ,7/4/2014,2161
PUJ,7/4/2014,4775
SKT,7/4/2014,1068
CBJ,7/5/2014,2033
PUJ,7/5/2014,4538
SKT,7/5/2014,930
CBJ,7/6/2014,1967
PUJ,7/6/2014,3247
SKT,7/6/2014,878
CBJ,7/7/2014,1874
PUJ,7/7/2014,2817
SKT,7/7/2014,801
CBJ,7/8/2014,1985
PUJ,7/8/2014,3548
SKT,7/8/2014,911
CBJ,7/9/2014,2159
PUJ,7/9/2014,3341
SKT,7/9/2014,847
CBJ,7/10/2014,2068
PUJ,7/10/2014,3138
SKT,7/10/2014,896
CBJ,7/12/2014,2872
PUJ,7/12/2014,3432
SKT,7/12/2014,1166
CBJ,7/13/2014,2122
PUJ,7/13/2014,3068
SKT,7/13/2014,898
CBJ,7/14/2014,1779
PUJ,7/14/2014,2678
SKT,7/14/2014,810
CBJ,7/15/2014,1904
PUJ,7/15/2014,2772
SKT,7/15/2014,1077
CBJ,7/16/2014,1871
PUJ,7/16/2014,2953
SKT,7/16/2014,1021
CBJ,7/17/2014,2125
PUJ,7/17/2014,3147
SKT,7/17/2014,918
CBJ,7/18/2014,2431
PUJ,7/18/2014,3084
SKT,7/18/2014,1095
CBJ,7/20/2014,2035
PUJ,7/20/2014,2916
SKT,7/20/2014,944
CBJ,7/22/2014,3808
PUJ,7/22/2014,4839
SKT,7/22/2014,1959
CBJ,7/23/2014,2891
PUJ,7/23/2014,3331
SKT,7/23/2014,947
CBJ,7/24/2014,1876
PUJ,7/24/2014,3300
SKT,7/24/2014,975
CBJ,7/26/2014,2223
PUJ,7/26/2014,3706
SKT,7/26/2014,1006
CBJ,7/27/2014,2169
PUJ,7/27/2014,3126
