msan,dt,total
SKT,2/24/2015,966
CBJ,2/25/2015,2781
PUJ,2/25/2015,4779
SKT,2/25/2015,1559
CBJ,2/26/2015,3341
PUJ,2/26/2015,4767
SKT,2/26/2015,1317
CBJ,2/27/2015,3425
PUJ,2/27/2015,4808
SKT,2/27/2015,1454
CBJ,2/28/2015,3157
PUJ,2/28/2015,4487
SKT,2/28/2015,1279
CBJ,3/1/2015,2846
PUJ,3/1/2015,4736
SKT,3/1/2015,1376
CBJ,3/2/2015,3208
PUJ,3/2/2015,5799
SKT,3/2/2015,1343
CBJ,3/3/2015,2960
PUJ,3/3/2015,5451
SKT,3/3/2015,1359
CBJ,3/4/2015,3014
PUJ,3/4/2015,6951
SKT,3/4/2015,1421
CBJ,3/5/2015,3052
PUJ,3/5/2015,7089
SKT,3/5/2015,2235
CBJ,3/6/2015,18845
PUJ,3/6/2015,5906
SKT,3/6/2015,2073
CBJ,3/7/2015,3352
PUJ,3/7/2015,6460
SKT,3/7/2015,1427
CBJ,3/8/2015,2954
PUJ,3/8/2015,6826
SKT,3/8/2015,2023
CBJ,3/9/2015,2860
PUJ,3/9/2015,7413
SKT,3/9/2015,1595
CBJ,3/11/2015,3366
PUJ,3/11/2015,4252
SKT,3/11/2015,1340
CBJ,3/12/2015,3864
PUJ,3/12/2015,4220
SKT,3/12/2015,1455
CBJ,3/13/2015,3697
PUJ,3/13/2015,4519
SKT,3/13/2015,1386
CBJ,3/15/2015,3140
PUJ,3/15/2015,4573
SKT,3/15/2015,1497
CBJ,3/16/2015,2977
PUJ,3/16/2015,3835
SKT,3/16/2015,1238
CBJ,3/17/2015,3341
PUJ,3/17/2015,4095
SKT,3/17/2015,1313
CBJ,3/18/2015,3695
PUJ,3/18/2015,4111
SKT,3/18/2015,1344
CBJ,3/20/2015,3618
PUJ,3/20/2015,4622
SKT,3/20/2015,1641
CBJ,3/21/2015,3349
PUJ,3/21/2015,4360
SKT,3/21/2015,1360
CBJ,3/22/2015,3020
PUJ,3/22/2015,4014
SKT,3/22/2015,1499
CBJ,3/23/2015,2400
PUJ,3/23/2015,3332
SKT,3/23/2015,1498
CBJ,3/24/2015,3109
PUJ,3/24/2015,5134
SKT,3/24/2015,1344
CBJ,3/25/2015,3859
PUJ,3/25/2015,4903
SKT,3/25/2015,1456
CBJ,3/26/2015,3424
PUJ,3/26/2015,4772
SKT,3/26/2015,1357
CBJ,3/27/2015,3511
PUJ,3/27/2015,5450
SKT,3/27/2015,2671
CBJ,3/28/2015,4153
PUJ,3/28/2015,4682
SKT,3/28/2015,1783
CBJ,3/29/2015,3768
PUJ,3/29/2015,4485
SKT,3/29/2015,2619
CBJ,3/30/2015,3772
PUJ,3/30/2015,4318
SKT,3/30/2015,2264
CBJ,4/1/2015,3269
CBJ,4/1/2015,3684
PUJ,4/1/2015,4917
PUJ,4/1/2015,7847
SKT,4/1/2015,1400
SKT,4/1/2015,1617
CBJ,4/2/2015,3392
CBJ,4/2/2015,4159
PUJ,4/2/2015,4414
PUJ,4/2/2015,5101
SKT,4/2/2015,2051
SKT,4/2/2015,2388
CBJ,4/3/2015,3780
CBJ,4/3/2015,5168
PUJ,4/3/2015,4427
PUJ,4/3/2015,4488
SKT,4/3/2015,2127
SKT,4/3/2015,2450
CBJ,4/4/2015,3546
PUJ,4/4/2015,4980
SKT,4/4/2015,2208
CBJ,4/5/2015,2950
PUJ,4/5/2015,4764
SKT,4/5/2015,2147
CBJ,4/6/2015,2694
PUJ,4/6/2015,4138
SKT,4/6/2015,1586
CBJ,4/7/2015,3217
PUJ,4/7/2015,4567
SKT,4/7/2015,1531
CBJ,4/8/2015,3562
PUJ,4/8/2015,5024
SKT,4/8/2015,1721
CBJ,4/15/2015,3102
PUJ,4/15/2015,4947
SKT,4/15/2015,1535
CBJ,4/16/2015,3678
PUJ,4/16/2015,4554
SKT,4/16/2015,1430
CBJ,4/19/2015,3506
PUJ,4/19/2015,5058
SKT,4/19/2015,1749
CBJ,4/20/2015,3529
CBJ,4/20/2015,3895
CBJ,4/20/2015,3350
CBJ,4/20/2015,3029
CBJ,4/20/2015,3338
CBJ,4/20/2015,3371
CBJ,4/20/2015,3735
CBJ,4/20/2015,3646
CBJ,4/20/2015,3224
PUJ,4/20/2015,4583
PUJ,4/20/2015,4501
PUJ,4/20/2015,4673
PUJ,4/20/2015,5144
PUJ,4/20/2015,4931
PUJ,4/20/2015,5242
PUJ,4/20/2015,5224
PUJ,4/20/2015,4185
PUJ,4/20/2015,4506
SKT,4/20/2015,1224
SKT,4/20/2015,1283
SKT,4/20/2015,1421
SKT,4/20/2015,2117
SKT,4/20/2015,1346
SKT,4/20/2015,1362
SKT,4/20/2015,1333
SKT,4/20/2015,1168
SKT,4/20/2015,1477
CBJ,4/21/2015,3120
PUJ,4/21/2015,4278
SKT,4/21/2015,1335
CBJ,4/22/2015,3394
PUJ,4/22/2015,4691
SKT,4/22/2015,1799
CBJ,4/23/2015,4267
PUJ,4/23/2015,4685
SKT,4/23/2015,1544
CBJ,4/24/2015,10867
PUJ,4/24/2015,4349
SKT,4/24/2015,1891
CBJ,4/25/2015,33685
PUJ,4/25/2015,5322
SKT,4/25/2015,1879
CBJ,4/26/2015,3548
PUJ,4/26/2015,4528
SKT,4/26/2015,1726
CBJ,4/27/2015,3437
PUJ,4/27/2015,4235
SKT,4/27/2015,1379
CBJ,4/28/2015,3525
PUJ,4/28/2015,4475
SKT,4/28/2015,3261
CBJ,4/29/2015,6526
PUJ,4/29/2015,4727
SKT,4/29/2015,1908
CBJ,4/30/2015,3434
PUJ,4/30/2015,6609
SKT,4/30/2015,2471
CBJ,5/1/2015,3191
PUJ,5/1/2015,4492
SKT,5/1/2015,1665
CBJ,5/2/2015,3025
PUJ,5/2/2015,3976
SKT,5/2/2015,1898
CBJ,5/3/2015,2730
PUJ,5/3/2015,3145
SKT,5/3/2015,1584
CBJ,5/4/2015,2603
PUJ,5/4/2015,2759
SKT,5/4/2015,1580
CBJ,5/5/2015,3088
PUJ,5/5/2015,3731
SKT,5/5/2015,1319
CBJ,5/6/2015,3389
PUJ,5/6/2015,4881
SKT,5/6/2015,1490
CBJ,5/7/2015,5977
PUJ,5/7/2015,4191
SKT,5/7/2015,2131
CBJ,5/12/2015,3693
CBJ,5/12/2015,3531
CBJ,5/12/2015,5535
CBJ,5/12/2015,2973
CBJ,5/12/2015,3253
PUJ,5/12/2015,4584
PUJ,5/12/2015,4193
PUJ,5/12/2015,4741
PUJ,5/12/2015,4176
PUJ,5/12/2015,4409
SKT,5/12/2015,2650
SKT,5/12/2015,3255
SKT,5/12/2015,1438
SKT,5/12/2015,3574
SKT,5/12/2015,1427
CBJ,5/14/2015,3771
PUJ,5/14/2015,4243
SKT,5/14/2015,2386
CBJ,5/15/2015,3354
PUJ,5/15/2015,4928
SKT,5/15/2015,2557
CBJ,5/16/2015,3603
PUJ,5/16/2015,4312
SKT,5/16/2015,2254
CBJ,5/17/2015,9265
PUJ,5/17/2015,4816
SKT,5/17/2015,2357
CBJ,5/18/2015,3321
PUJ,5/18/2015,4028
SKT,5/18/2015,2553
CBJ,5/20/2015,3963
PUJ,5/20/2015,5028
SKT,5/20/2015,1427
CBJ,5/21/2015,3576
PUJ,5/21/2015,4886
SKT,5/21/2015,1567
CBJ,5/22/2015,3769
PUJ,5/22/2015,4565
SKT,5/22/2015,1759
CBJ,5/24/2015,3212
PUJ,5/24/2015,4196
SKT,5/24/2015,1413
CBJ,5/25/2015,2890
PUJ,5/25/2015,4513
SKT,5/25/2015,1327
CBJ,5/26/2015,3144
PUJ,5/26/2015,4908
SKT,5/26/2015,1299
CBJ,5/27/2015,3950
PUJ,5/27/2015,4024
SKT,5/27/2015,1352
CBJ,5/28/2015,4227
PUJ,5/28/2015,4481
SKT,5/28/2015,1368
CBJ,5/29/2015,3322
PUJ,5/29/2015,4382
SKT,5/29/2015,1355
CBJ,5/30/2015,3936
PUJ,5/30/2015,4883
SKT,5/30/2015,1907
CBJ,5/31/2015,3466
PUJ,5/31/2015,4170
SKT,5/31/2015,1332
CBJ,6/1/2015,3153
CBJ,6/1/2015,3651
CBJ,6/1/2015,3205
CBJ,6/1/2015,3366
PUJ,6/1/2015,4676
PUJ,6/1/2015,4208
PUJ,6/1/2015,5352
PUJ,6/1/2015,3862
SKT,6/1/2015,1503
SKT,6/1/2015,1968
SKT,6/1/2015,2037
SKT,6/1/2015,1698
CBJ,6/2/2015,5011
PUJ,6/2/2015,5641
SKT,6/2/2015,1556
CBJ,6/3/2015,3340
PUJ,6/3/2015,4485
SKT,6/3/2015,1764
CBJ,6/4/2015,3249
PUJ,6/4/2015,4411
SKT,6/4/2015,1416
CBJ,6/5/2015,3638
PUJ,6/5/2015,4744
SKT,6/5/2015,1388
CBJ,6/6/2015,3604
PUJ,6/6/2015,4867
SKT,6/6/2015,1393
CBJ,6/7/2015,3374
PUJ,6/7/2015,4036
SKT,6/7/2015,1837
CBJ,6/8/2015,3133
PUJ,6/8/2015,3761
SKT,6/8/2015,1191
CBJ,6/10/2015,4078
PUJ,6/10/2015,3750
SKT,6/10/2015,1404
CBJ,6/11/2015,3585
PUJ,6/11/2015,3992
SKT,6/11/2015,2048
CBJ,6/12/2015,3104
PUJ,6/12/2015,4761
SKT,6/12/2015,1424
CBJ,6/13/2015,3272
PUJ,6/13/2015,4580
SKT,6/13/2015,1766
CBJ,6/14/2015,3571
PUJ,6/14/2015,4349
SKT,6/14/2015,1376
CBJ,6/15/2015,3361
PUJ,6/15/2015,4057
SKT,6/15/2015,1383
CBJ,6/17/2015,3448
PUJ,6/17/2015,4385
SKT,6/17/2015,1396
CBJ,6/18/2015,3127
PUJ,6/18/2015,4036
SKT,6/18/2015,1792
CBJ,6/21/2015,3036
PUJ,6/21/2015,4234
SKT,6/21/2015,1622
CBJ,6/22/2015,3656
PUJ,6/22/2015,3868
SKT,6/22/2015,1326
CBJ,6/23/2015,3557
PUJ,6/23/2015,4715
SKT,6/23/2015,1715
CBJ,6/26/2015,3265
PUJ,6/26/2015,4989
SKT,6/26/2015,1459
CBJ,6/28/2015,2827
PUJ,6/28/2015,4115
SKT,6/28/2015,1434
CBJ,6/30/2015,3630
CBJ,6/30/2015,3062
CBJ,6/30/2015,2998
CBJ,6/30/2015,3383
CBJ,6/30/2015,3111
CBJ,6/30/2015,3160
CBJ,6/30/2015,3006
PUJ,6/30/2015,4179
PUJ,6/30/2015,3923
PUJ,6/30/2015,4401
PUJ,6/30/2015,4490
PUJ,6/30/2015,4664
PUJ,6/30/2015,4437
PUJ,6/30/2015,4151
SKT,6/30/2015,1204
SKT,6/30/2015,2050
SKT,6/30/2015,2405
SKT,6/30/2015,1491
SKT,6/30/2015,1287
SKT,6/30/2015,1385
SKT,6/30/2015,2234
CBJ,7/1/2015,3390
CBJ,7/1/2015,2870
CBJ,7/1/2015,2975
PUJ,7/1/2015,3826
PUJ,7/1/2015,4791
PUJ,7/1/2015,4450
SKT,7/1/2015,1531
SKT,7/1/2015,1643
SKT,7/1/2015,1325
CBJ,7/2/2015,3486
PUJ,7/2/2015,4527
SKT,7/2/2015,1759
CBJ,7/3/2015,3534
PUJ,7/3/2015,4629
SKT,7/3/2015,1409
CBJ,7/4/2015,3677
PUJ,7/4/2015,4944
SKT,7/4/2015,1759
CBJ,7/5/2015,3310
PUJ,7/5/2015,4144
SKT,7/5/2015,1514
CBJ,7/6/2015,3020
PUJ,7/6/2015,4015
SKT,7/6/2015,1339
CBJ,7/7/2015,6200
PUJ,7/7/2015,4455
SKT,7/7/2015,1484
CBJ,7/8/2015,3716
PUJ,7/8/2015,4732
SKT,7/8/2015,1393
CBJ,7/13/2015,3236
PUJ,7/13/2015,3931
SKT,7/13/2015,1637
CBJ,7/15/2015,3508
CBJ,7/15/2015,3571
CBJ,7/15/2015,3654
CBJ,7/15/2015,3737
CBJ,7/15/2015,3634
CBJ,7/15/2015,3557
PUJ,7/15/2015,4453
PUJ,7/15/2015,4464
PUJ,7/15/2015,4244
PUJ,7/15/2015,5143
PUJ,7/15/2015,5012
PUJ,7/15/2015,5867
SKT,7/15/2015,1367
SKT,7/15/2015,1723
SKT,7/15/2015,1496
SKT,7/15/2015,2455
SKT,7/15/2015,1836
SKT,7/15/2015,1467
CBJ,7/16/2015,3447
PUJ,7/16/2015,4473
SKT,7/16/2015,1642
CBJ,7/17/2015,3300
PUJ,7/17/2015,3502
SKT,7/17/2015,1583
CBJ,7/18/2015,2841
PUJ,7/18/2015,1963
SKT,7/18/2015,977
CBJ,7/19/2015,2210
PUJ,7/19/2015,1991
SKT,7/19/2015,830
CBJ,7/21/2015,2270
PUJ,7/21/2015,2135
SKT,7/21/2015,976
CBJ,7/22/2015,2968
PUJ,7/22/2015,3043
SKT,7/22/2015,1363
CBJ,7/23/2015,3119
PUJ,7/23/2015,3799
SKT,7/23/2015,1750
CBJ,7/25/2015,3709
PUJ,7/25/2015,4285
SKT,7/25/2015,1964
CBJ,7/26/2015,3510
PUJ,7/26/2015,5026
SKT,7/26/2015,1590
CBJ,7/28/2015,3877
PUJ,7/28/2015,4208
SKT,7/28/2015,1931
CBJ,8/1/2015,6899
PUJ,8/1/2015,4705
SKT,8/1/2015,1558
CBJ,8/2/2015,6089
PUJ,8/2/2015,4820
SKT,8/2/2015,1987
CBJ,8/3/2015,4336
PUJ,8/3/2015,4200
SKT,8/3/2015,1604
CBJ,8/4/2015,4163
CBJ,8/4/2015,3682
CBJ,8/4/2015,2296
CBJ,8/4/2015,3603
CBJ,8/4/2015,3737
CBJ,8/4/2015,3838
CBJ,8/4/2015,4793
PUJ,8/4/2015,4538
PUJ,8/4/2015,1619
PUJ,8/4/2015,4612
PUJ,8/4/2015,4603
PUJ,8/4/2015,4122
PUJ,8/4/2015,4074
PUJ,8/4/2015,4385
SKT,8/4/2015,1874
SKT,8/4/2015,1562
SKT,8/4/2015,1609
SKT,8/4/2015,1771
SKT,8/4/2015,886
SKT,8/4/2015,1477
CBJ,8/5/2015,3599
PUJ,8/5/2015,4910
SKT,8/5/2015,1637
CBJ,8/6/2015,3647
PUJ,8/6/2015,5627
SKT,8/6/2015,1705
CBJ,8/7/2015,3765
PUJ,8/7/2015,4702
SKT,8/7/2015,1709
CBJ,8/8/2015,3615
PUJ,8/8/2015,4469
SKT,8/8/2015,1553
CBJ,8/9/2015,3527
PUJ,8/9/2015,4540
SKT,8/9/2015,1841
CBJ,8/10/2015,3406
PUJ,8/10/2015,4308
SKT,8/10/2015,1658
CBJ,8/11/2015,3749
PUJ,8/11/2015,4549
SKT,8/11/2015,1476
CBJ,8/12/2015,3494
PUJ,8/12/2015,4634
SKT,8/12/2015,1794
CBJ,8/14/2015,3439
PUJ,8/14/2015,4853
SKT,8/14/2015,1565
CBJ,8/15/2015,3836
PUJ,8/15/2015,4837
SKT,8/15/2015,1551
CBJ,8/16/2015,3847
PUJ,8/16/2015,4925
SKT,8/16/2015,1830
CBJ,8/17/2015,3806
PUJ,8/17/2015,4357
SKT,8/17/2015,2856
CBJ,8/18/2015,3824
PUJ,8/18/2015,4796
SKT,8/18/2015,2187
CBJ,8/20/2015,3490
PUJ,8/20/2015,4827
SKT,8/20/2015,2056
CBJ,8/24/2015,4869
CBJ,8/24/2015,4276
CBJ,8/24/2015,4399
CBJ,8/24/2015,3269
CBJ,8/24/2015,3352
CBJ,8/24/2015,3450
PUJ,8/24/2015,4511
PUJ,8/24/2015,4818
PUJ,8/24/2015,4553
PUJ,8/24/2015,4609
PUJ,8/24/2015,5156
PUJ,8/24/2015,5621
SKT,8/24/2015,1460
SKT,8/24/2015,2426
SKT,8/24/2015,2253
SKT,8/24/2015,1952
SKT,8/24/2015,2593
SKT,8/24/2015,1877
CBJ,8/25/2015,3713
PUJ,8/25/2015,4711
SKT,8/25/2015,2410
CBJ,8/26/2015,3753
PUJ,8/26/2015,4926
SKT,8/26/2015,1562
CBJ,8/27/2015,3276
PUJ,8/27/2015,5070
SKT,8/27/2015,1423
CBJ,8/28/2015,3212
PUJ,8/28/2015,4589
SKT,8/28/2015,1960
CBJ,8/29/2015,3112
PUJ,8/29/2015,5276
SKT,8/29/2015,1472
CBJ,8/31/2015,2844
PUJ,8/31/2015,3769
SKT,8/31/2015,1382
CBJ,9/1/2015,3126
PUJ,9/1/2015,4206
SKT,9/1/2015,1337
CBJ,9/2/2015,4283
PUJ,9/2/2015,4339
SKT,9/2/2015,1383
CBJ,9/3/2015,3311
PUJ,9/3/2015,4587
SKT,9/3/2015,1631
CBJ,9/4/2015,3350
PUJ,9/4/2015,4389
SKT,9/4/2015,1288
CBJ,9/5/2015,3351
PUJ,9/5/2015,4652
SKT,9/5/2015,1263
CBJ,9/6/2015,3259
PUJ,9/6/2015,4359
SKT,9/6/2015,1865
CBJ,9/10/2015,3481
CBJ,9/10/2015,4051
CBJ,9/10/2015,3144
CBJ,9/10/2015,2977
CBJ,9/10/2015,2919
PUJ,9/10/2015,4576
PUJ,9/10/2015,4476
PUJ,9/10/2015,4815
PUJ,9/10/2015,4495
PUJ,9/10/2015,4396
SKT,9/10/2015,1333
SKT,9/10/2015,1599
SKT,9/10/2015,1409
SKT,9/10/2015,1377
SKT,9/10/2015,1431
CBJ,9/11/2015,3310
PUJ,9/11/2015,4504
SKT,9/11/2015,1335
CBJ,9/13/2015,2691
PUJ,9/13/2015,3697
SKT,9/13/2015,1543
CBJ,9/14/2015,2599
PUJ,9/14/2015,3630
SKT,9/14/2015,1388
CBJ,9/17/2015,3374
PUJ,9/17/2015,3873
SKT,9/17/2015,1170
CBJ,9/18/2015,2863
PUJ,9/18/2015,4189
SKT,9/18/2015,1383
CBJ,9/19/2015,2811
PUJ,9/19/2015,4274
SKT,9/19/2015,1139
CBJ,9/21/2015,2258
PUJ,9/21/2015,3403
SKT,9/21/2015,1187
CBJ,10/1/2015,2101
CBJ,10/1/2015,2572
CBJ,10/1/2015,2739
CBJ,10/1/2015,2172
CBJ,10/1/2015,2731
CBJ,10/1/2015,2748
CBJ,10/1/2015,2227
CBJ,10/1/2015,2913
CBJ,10/1/2015,2496
CBJ,10/1/2015,2661
CBJ,10/1/2015,2441
CBJ,10/1/2015,3150
CBJ,10/1/2015,2483
CBJ,10/1/2015,2416
PUJ,10/1/2015,4190
PUJ,10/1/2015,4098
PUJ,10/1/2015,4277
PUJ,10/1/2015,4115
PUJ,10/1/2015,3056
PUJ,10/1/2015,2569
PUJ,10/1/2015,4850
PUJ,10/1/2015,4938
PUJ,10/1/2015,3902
PUJ,10/1/2015,3962
PUJ,10/1/2015,4689
PUJ,10/1/2015,2079
PUJ,10/1/2015,2652
PUJ,10/1/2015,4431
SKT,10/1/2015,993
SKT,10/1/2015,1274
SKT,10/1/2015,1292
SKT,10/1/2015,1106
SKT,10/1/2015,1407
SKT,10/1/2015,865
SKT,10/1/2015,775
SKT,10/1/2015,1145
SKT,10/1/2015,1043
SKT,10/1/2015,1330
SKT,10/1/2015,1226
SKT,10/1/2015,1276
SKT,10/1/2015,1066
SKT,10/1/2015,1088
CBJ,10/2/2015,2523
PUJ,10/2/2015,4543
SKT,10/2/2015,1604
